PreK_FE	_stats	PermInc	MomDropout	MomSomeColl	AgeAFQT_std	HighGrade_GMom79
1	mean	26009.88	0.39	0.32	-0.77	9.82
1	sd	19558.85	0.49	0.47	0.48	2.59
1	count	206.00	206.00	206.00	206.00	206.00
2	mean	28939.76	0.27	0.42	-0.63	10.13
2	sd	22853.43	0.45	0.50	0.66	2.76
2	count	144.00	144.00	144.00	144.00	144.00
3	mean	24164.23	0.37	0.30	-0.76	9.98
3	sd	16313.85	0.48	0.46	0.56	2.67
3	count	259.00	259.00	259.00	259.00	259.00
