PreK	_stats	PermInc	MomDropout	MomSomeColl	AgeAFQT_std	HighGrade_GMom79
1	mean	26553.41	0.51	0.22	-0.44	8.53
1	sd	19555.12	0.50	0.41	0.73	3.50
1	count	364.00	364.00	364.00	364.00	364.00
2	mean	52130.32	0.18	0.41	0.23	10.62
2	sd	34577.26	0.38	0.49	0.85	2.92
2	count	745.00	745.00	745.00	745.00	745.00
3	mean	35591.96	0.42	0.23	-0.21	9.34
3	sd	23459.65	0.49	0.42	0.86	3.36
3	count	1374.00	1374.00	1374.00	1374.00	1374.00
